Package Type,Destination,Itinerary,Travel Date,Start City,Airline,Flight Stops,Meals
Standard,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 2N Manali . 1N Chandigarh,30-07-2021,Mumbai,Not Available,2,3
Premium,Srinagar|Pahalgam|Srinagar,1N Srinagar . 2N Pahalgam . 1N Srinagar,8/12/2021,New Delhi,IndiGo|IndiGo,0,5
Luxury,Udaipur|Chittorgarh,2N Udaipur . 1N Chittorgarh,26-04-2021,New Delhi,IndiGo,0,4
Premium,Munnar|Kumarakom|Allepey|Kovalam and Poovar,2N Munnar . 1N Kumarakom . 1N Allepey . 2N Kovalam and Poovar,27-08-2021,New Delhi,IndiGo,0,5
Premium,Pattaya|Bangkok,4N Pattaya . 3N Bangkok,12/12/2021,New Delhi,Spicejet|Go Air,0,5
Deluxe,Cochin,2N Cochin,30-09-2021,Mumbai,IndiGo,1,3
Standard,Jaipur,3N Jaipur,24-01-2021,New Delhi,IndiGo,2,3
Deluxe,Kasol|Manali,2N Kasol . 3N Manali,10/12/2021,Mumbai,Not Available,1,3
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 2N Pahalgam . 2N Srinagar,3/10/2021,New Delhi,IndiGo,1,3
Premium,Udaipur,2N Udaipur,15-08-2021,Mumbai,IndiGo,0,5
Budget,Kovalam and Poovar|Kanyakumari,2N Kovalam and Poovar . 1N Kanyakumari,2/6/2021,New Delhi,Spicejet,2,2
Premium,Cochin|Munnar|Allepey|Kovalam and Poovar,1N Cochin . 2N Munnar . 1N Allepey . 2N Kovalam and Poovar,14-10-2021,New Delhi,IndiGo|Spicejet,0,5
Premium,Guwahati,1N Guwahati,15-09-2021,New Delhi,Spicejet,0,5
Standard,Udaipur|Mount Abu,2N Udaipur . 1N Mount Abu,21-05-2021,New Delhi,Not Available,2,3
Deluxe,Chandigarh|Shimla|Manali|Chandigarh,1N Chandigarh . 2N Shimla . 3N Manali . 1N Chandigarh,19-02-2021,Mumbai,Go Air|IndiGo,1,3
Standard,Nainital|Kausani|Corbett,2N Nainital . 1N Kausani . 2N Corbett,29-06-2021,New Delhi,IndiGo,2,3
Deluxe,Kodaikanal,3N Kodaikanal,18-12-2021,New Delhi,Air India,1,3
Deluxe,Srinagar|Gulmarg|Srinagar,1N Srinagar . 1N Gulmarg . 2N Srinagar,9/4/2021,Mumbai,Spicejet|Spicejet,1,3
Luxury,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,27-11-2021,Mumbai,Not Available,0,4
Standard,Ooty|Kodaikanal,3N Ooty . 3N Kodaikanal,22-11-2021,Mumbai,Spicejet,2,3
Premium,Kodaikanal|Ooty|Mysore,2N Kodaikanal . 2N Ooty . 1N Mysore,18-06-2021,Mumbai,Go Air,0,5
Premium,Jaipur,2N Jaipur,3/12/2021,New Delhi,Spicejet,0,5
Deluxe,New Delhi|Agra|Jaipur,1N New Delhi . 1N Agra . 1N Jaipur,10/8/2021,Mumbai,IndiGo,1,3
Premium,Dubai,7N Dubai,12/10/2021,Mumbai,Emirates|Emirates,0,5
Deluxe,Goa,3N Goa,9/5/2021,New Delhi,Not Available,1,3
Luxury,Gangtok|Pelling|Darjeeling,3N Gangtok . 1N Pelling . 4N Darjeeling,15-07-2021,New Delhi,Spicejet,0,4
Premium,Shimla|Manali|Dharamshala|Dalhousie|Amritsar,2N Shimla . 3N Manali . 2N Dharamshala . 2N Dalhousie . 1N Amritsar,24-12-2021,Mumbai,Spicejet|Air India|Air India,0,5
Premium,Gangtok|Pelling|Darjeeling,3N Gangtok . 1N Pelling . 2N Darjeeling,13-04-2021,Mumbai,Not Available,0,5
Standard,Coorg|Ooty|Bandipur,3N Coorg . 2N Ooty . 1N Bandipur,18-02-2021,Mumbai,Vistara,2,3
Luxury,Coorg,2N Coorg,2/6/2021,New Delhi,IndiGo,0,4
Luxury,New Delhi|Agra|Jaipur,2N New Delhi . 1N Agra . 2N Jaipur,15-04-2021,New Delhi,Spicejet,0,4
Standard,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,24-09-2021,New Delhi,IndiGo,2,3
Luxury,Shimla,3N Shimla,26-03-2021,Mumbai,Not Available,0,4
